"cod_ibge";"regiao";"uf";"municipio";"total_2010";"total_2011";"total_2012"
"2600203";"Nordeste";"PE";"Afrânio";1;1;1
"2600500";"Nordeste";"PE";"Águas Belas";10;7;6
"2601102";"Nordeste";"PE";"Araripina";33;12;17
"2601201";"Nordeste";"PE";"Arcoverde";41;29;31
"2601409";"Nordeste";"PE";"Barreiros";2;7;2
"2601706";"Nordeste";"PE";"Belo Jardim";8;8;5
"2601805";"Nordeste";"PE";"Betânia";1;1;1
"2602001";"Nordeste";"PE";"Bodocó";4;2;1
"2602605";"Nordeste";"PE";"Brejo da Madre de Deus";2;1;1
"2602803";"Nordeste";"PE";"Buíque";5;3;4
"2602902";"Nordeste";"PE";"Cabo de Santo Agostinho";15;5;10
"2603108";"Nordeste";"PE";"Cachoeirinha";3;1;1
"2603454";"Nordeste";"PE";"Camaragibe";4;6;2
"2603702";"Nordeste";"PE";"Canhotinho";1;2;1
"2603926";"Nordeste";"PE";"Carnaubeira da Penha";3;1;1
"2604007";"Nordeste";"PE";"Carpina";2;1;1
"2604106";"Nordeste";"PE";"Caruaru";147;126;139
"2604304";"Nordeste";"PE";"Cedro";1;1;2
"2604700";"Nordeste";"PE";"Correntes";1;1;1
"2605103";"Nordeste";"PE";"Custódia";5;4;1
"2605202";"Nordeste";"PE";"Escada";4;4;2
"2605301";"Nordeste";"PE";"Exu";3;5;3
"2605707";"Nordeste";"PE";"Floresta";13;7;7
"2606002";"Nordeste";"PE";"Garanhuns";53;30;50
"2606200";"Nordeste";"PE";"Goiana";8;7;2
"2606408";"Nordeste";"PE";"Gravatá";2;3;2
"2606606";"Nordeste";"PE";"Ibimirim";7;1;9
"2606804";"Nordeste";"PE";"Igarassu";1;3;1
"2607208";"Nordeste";"PE";"Ipojuca";2;7;5
"2607307";"Nordeste";"PE";"Ipubi";3;2;2
"2607901";"Nordeste";"PE";"Jaboatão dos Guararapes";112;118;87
"2608057";"Nordeste";"PE";"Jatobá";1;2;1
"2608255";"Nordeste";"PE";"Jucati";1;1;1
"2608750";"Nordeste";"PE";"Lagoa Grande";3;3;3
"2608800";"Nordeste";"PE";"Lajedo";1;2;1
"2608909";"Nordeste";"PE";"Limoeiro";9;3;7
"2609006";"Nordeste";"PE";"Macaparana";3;4;2
"2609154";"Nordeste";"PE";"Manari";4;5;2
"2609303";"Nordeste";"PE";"Mirandiba";2;2;2
"2609402";"Nordeste";"PE";"Moreno";3;1;4
"2609501";"Nordeste";"PE";"Nazaré da Mata";1;4;6
"2609600";"Nordeste";"PE";"Olinda";15;5;18
"2609907";"Nordeste";"PE";"Ouricuri";45;28;31
"2610004";"Nordeste";"PE";"Palmares";23;27;36
"2610400";"Nordeste";"PE";"Parnamirim";1;1;1
"2610509";"Nordeste";"PE";"Passira";1;1;1
"2610608";"Nordeste";"PE";"Paudalho";4;2;4
"2610707";"Nordeste";"PE";"Paulista";4;3;5
